Date,Open,High,Low,Close,Volume
40666,49.712856,49.984287,49.374287,49.742859,78337000
40667,49.751427,50.261429,49.554287,49.938572,97312600
40668,49.771427,50.135715,49.435715,49.535713,83992300
40669,49.955715,50,49.458572,49.522858,70033600
40672,49.694286,49.885715,49.504284,49.657143,51186800
40673,49.841427,49.955715,49.522858,49.921429,70522900
40674,49.860001,50,49.32,49.604286,84000000
40675,49.445713,49.58857,48.895714,49.509998,80500000
40676,49.380001,49.464287,48.621429,48.642857,81529000
40679,48.457142,48.745716,47.514286,47.614285,112443800
40680,47.42857,48.02,47.247143,48.02,113083600
40681,48.067142,48.721428,48,48.552856,83694100
40682,48.868572,48.915714,48.381428,48.647144,65292500
40683,48.508572,48.707142,47.860001,47.888573,84492100
40686,47.138573,47.997143,47.060001,47.771427,95900000
40687,47.92857,47.985714,47.334286,47.455715,80481800
40688,47.632858,48.365715,47.549999,48.111427,73556000
40689,47.995716,48.127144,47.775715,47.857143,55640200
40690,47.828571,48.232857,47.758572,48.201427,50899800
40694,48.728573,49.689999,48.714287,49.689999,104438600
40695,49.83857,50.304287,49.235714,49.35857,138670700
40696,49.5,49.71143,49.185715,49.442856,84695800
40697,49.025715,49.332859,48.85857,49.062859,78312500
40700,49.385715,49.578571,48.258572,48.291428,115485300
40701,48.310001,48.317142,47.414288,47.434284,132446300
40702,47.397144,47.828571,47.235714,47.462856,83430900
40703,47.607143,47.667141,47.25,47.355713,68772200
40704,47.221428,47.380001,46.501427,46.557144,108488800
40707,46.742859,46.901428,46.438572,46.657143,82368300
40708,47.142857,47.607143,47.044285,47.491428,83642300
40709,47.107143,47.185715,46.41143,46.67857,99799000
40710,46.700001,46.954285,45.475716,46.451427,127647800
40711,46.998573,47.035713,45.622856,45.751427,153755000
40714,45.337143,45.385715,44.357143,45.045715,160161400
40715,45.240002,46.542858,45.028572,46.471428,123345600
40716,46.451427,46.985714,46.054287,46.087143,97645800
40717,45.562859,47.384285,45.445713,47.318573,139939800
40718,47.33857,47.592857,46.441429,46.621429,109951800
40721,46.798573,47.700001,46.75,47.434284,84953400
40722,47.664288,48.099998,47.634285,47.894287,73574900
40723,48.005714,48.052856,47.41143,47.720001,88136300
40724,47.814285,48.01857,47.548573,47.952858,80738700
